geneID	gff_annotation	gff_annotation.1
100534553	ucp1	uncoupling protein 1%2C transcript variant X1
100534554	dmrt2b	DM-related transcriptional factor Dmrt2b%2C transcript variant X1
100534555	LOC100534555	doublesex- and mab-3-related transcription factor 1%2C transcript variant X2
100534556	esr2	estrogen receptor 2%2C transcript variant X1
100534557	gria2	glutamate ionotropic receptor AMPA type subunit 2
100534558	LOC100534558	transglutaminase
100534559	dmrta1	DMRT like family A1
100534560	abcg4	ATP binding cassette subfamily G member 4
100534562	LOC100534562	thyrotropin subunit beta
100534563	pth2	parathyroid hormone 2%2C transcript variant X2
100534565	igf1	insulin like growth factor 1%2C transcript variant X1
100534566	f5	coagulation factor V%2C transcript variant X1
100534567	LOC100534567	muscarinic receptor 4 subtype
100534568	LOC100534568	3beta-hydroxysteroid dehydrogenase type I
100534569	rplp0	ribosomal protein lateral stalk subunit P0
100534570	hoxc6	homeobox C6%2C transcript variant X2
100534571	dio1	iodothyronine deiodinase 1
100534572	rack1	receptor for activated C kinase 1
100534573	pah	phenylalanine hydroxylase
100534574	gnrh2	gonadotropin releasing hormone 2
100534575	myog	myogenin
100534576	LOC100534576	ghrelin%2C transcript variant X5
100534577	LOC100534577	glutamate receptor ionotropic%2C NMDA 1%2C transcript variant X12
100534578	LOC100534578	tumor necrosis factor-alpha
100534580	ccnb3	cyclin B3%2C transcript variant X2
100534581	hsd17b8	hydroxysteroid 17-beta dehydrogenase 8%2C transcript variant X1
100534582	nos1	nitric oxide synthase 1%2C transcript variant X2
100534585	cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)%2C transcript variant X1
100534586	prlr	prolactin receptor
100534587	glur2a	glutamate receptor subunit 2A%2C transcript variant X4
100534588	nr3c1	nuclear receptor subfamily 3 group C member 1%2C transcript variant X1
100628562	c1inh	C1 inhibitor
100628563	nr5a1	nuclear receptor subfamily 5 group A member 1
100628564	LOC100628564	MHC class II beta chain
100628565	tcf21	transcription factor 21
100653402	cyp1c1	cytochrome P450 1C1
100653403	cyp1b1	cytochrome P450 1B1
100653404	rspo1	R-spondin 1
100689704	dnajc2	DnaJ heat shock protein family (Hsp40) member C2
100689705	tox3	TOX high mobility group box family member 3
100689706	plcd4	phospholipase C delta 4
100689707	LOC100689707	period circadian protein homolog 2%2C transcript variant X6
100689708	ift22	intraflagellar transport 22
100689709	LOC100689709	brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2
100689710	pcnx2	pecanex homolog 2 (Drosophila)
100689711	LOC100689711	H-2 class I histocompatibility antigen%2C Q9 alpha chain%2C transcript variant X3
100689712	LOC100689712	sulfotransferase family cytosolic 2B member 1%2C transcript variant X4
100689713	LOC100689713	FYVE%2C RhoGEF and PH domain-containing protein 3%2C transcript variant X5
100689714	LOC100689714	tumor necrosis factor receptor superfamily member 5-like
100689715	LOC100689715	CCAAT/enhancer-binding protein beta
100689716	LOC100689716	uncharacterized LOC102080973
100689717	LOC100689717	CUGBP Elav-like family member 1%2C transcript variant X7
100689718	yae1d1	Yae1 domain containing 1
100689719	LOC100689719	phospholipid scramblase 1%2C transcript variant X1
100689720	fuk	fucokinase
100689722	LOC100689722	myosin heavy chain%2C fast skeletal muscle
100689723	LOC100689723	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
100689724	LOC100689724	rab9 effector protein with kelch motifs
100689725	LOC100689725	C2 calcium-dependent domain-containing protein 4C%2C transcript variant X1
100689726	LOC100689726	diphosphoinositol polyphosphate phosphohydrolase 3-beta%2C transcript variant X2
100689727	LOC100689727	adhesion G protein-coupled receptor F4%2C transcript variant X2
100689728	LOC100689728	gamma-aminobutyric acid receptor subunit gamma-3%2C transcript variant X3
100689729	LOC100689729	cadherin EGF LAG seven-pass G-type receptor 2
100689730	ssu72	SSU72 homolog%2C RNA polymerase II CTD phosphatase
100689731	ppfia4	PTPRF interacting protein alpha 4%2C transcript variant X8
100689732	gramd1b	GRAM domain containing 1B%2C transcript variant X3
100689733	bccip	BRCA2 and CDKN1A interacting protein
100689734	LOC100689734	mucin-2%2C transcript variant X2
100689735	LOC100689735	UPF0585 protein C16orf13 homolog B
100689736	akt1s1	AKT1 substrate 1
100689737	LOC100689737	B2 bradykinin receptor
100689738	mfsd6l	major facilitator superfamily domain containing 6 like
100689739	LOC100689739	snRNA-activating protein complex subunit 1
100689742	hdac10	histone deacetylase 10%2C transcript variant X1
100689743	LOC100689743	protein AMBP
100689744	tlx3	T-cell leukemia homeobox 3
100689745	LOC100689745	uncharacterized oxidoreductase At1g06690%2C chloroplastic%2C transcript variant X2
100689746	LOC100689746	proline-rich protein 5%2C transcript variant X1
100689747	rerg	RAS like estrogen regulated growth inhibitor%2C transcript variant X4
100689748	smyd5	SMYD family member 5
100689749	LOC100689749	G protein-coupled receptor kinase 5%2C transcript variant X2
100689750	LOC100689750	AN1-type zinc finger protein 5%2C transcript variant X3
100689751	ercc5	ERCC excision repair 5%2C endonuclease%2C transcript variant X1
100689752	LOC100689752	caltractin%2C transcript variant X2
100689753	unc5c	unc-5 netrin receptor C%2C transcript variant X2
100689756	dip2a	disco interacting protein 2 homolog A%2C transcript variant X2
100689757	LOC100689757	sialidase-4%2C transcript variant X1
100689758	LOC100689758	myosin-binding protein H%2C transcript variant X2
100689759	epb41l3	erythrocyte membrane protein band 4.1 like 3%2C transcript variant X4
100689760	cherp	calcium homeostasis endoplasmic reticulum protein%2C transcript variant X1
100689761	LOC100689761	glutathione S-transferase A%2C transcript variant X4
100689762	LOC100689762	kelch-like protein 25%2C transcript variant X4
100689763	cldn15	claudin 15
100689764	slc35a5	solute carrier family 35 member A5%2C transcript variant X2
100689765	mab21l2	mab-21 like 2
100689766	net1	neuroepithelial cell transforming 1%2C transcript variant X2
100689767	nxnl1	nucleoredoxin-like 1
100689769	mfsd8	major facilitator superfamily domain containing 8%2C transcript variant X2
100689771	LOC100689771	DNA-binding death effector domain-containing protein 2%2C transcript variant X2
100689772	calml4	calmodulin like 4
100689773	tbrg4	transforming growth factor beta regulator 4
100689774	LOC100689774	leukemia inhibitory factor receptor
100689775	LOC100689775	tripartite motif-containing protein 16-like
100689777	tarbp2	TARBP2%2C RISC loading complex RNA binding subunit
100689779	arl2	ADP ribosylation factor like GTPase 2
100689780	ccdc90b	coiled-coil domain containing 90B%2C transcript variant X6
100689782	LOC100689782	uncharacterized LOC100689782%2C transcript variant X2
100689783	col10a1	collagen type X alpha 1 chain%2C transcript variant X2
100689784	dpyd	dihydropyrimidine dehydrogenase%2C transcript variant X2
100689785	LOC100689785	angiopoietin-related protein 3
100689786	hand1	heart and neural crest derivatives expressed 1
100689787	lg7h11orf49	linkage group 7 C11orf49 homolog%2C transcript variant X3
100689788	dcxr	dicarbonyl and L-xylulose reductase
100689789	LOC100689789	choline transporter-like protein 1
100689790	LOC100689790	ras-related protein Rab-33B
100689791	ankrd28	ankyrin repeat domain 28
100689792	vgll4	vestigial like family member 4%2C transcript variant X4
100689793	clcn4	chloride voltage-gated channel 4
100689794	fgf17	fibroblast growth factor 17%2C transcript variant X3
100689795	LOC100689795	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex%2C mitochondrial
100689797	LOC100689797	cationic amino acid transporter 2%2C transcript variant X1
100689798	rab22a	RAB22A%2C member RAS oncogene family
100689799	pcca	propionyl-CoA carboxylase alpha subunit%2C transcript variant X2
100689801	LOC100689801	melanocyte protein PMEL
100689802	eci2	enoyl-CoA delta isomerase 2%2C transcript variant X3
100689803	LOC100689803	probable 2-ketogluconate reductase
100689804	ttc24	tetratricopeptide repeat domain 24%2C transcript variant X6
100689805	spcs2	signal peptidase complex subunit 2
100689806	LOC100689806	inositol monophosphatase 1
100689807	mphosph6	M-phase phosphoprotein 6
100689808	LOC100689808	histone H2A-like
100689810	gnpnat1	glucosamine-phosphate N-acetyltransferase 1
100689811	LOC100689811	low affinity immunoglobulin gamma Fc region receptor II-b
100689812	LOC100689812	chemokine XC receptor 1
100689813	LOC100689813	extracellular calcium-sensing receptor-like
100689814	LOC100689814	E3 ubiquitin/ISG15 ligase TRIM25-like
100689816	tut1	terminal uridylyl transferase 1%2C U6 snRNA-specific
100689817	LOC100689817	taste receptor type 1 member 3
100689818	myo3a	myosin IIIA%2C transcript variant X2
100689819	LOC100689819	oxysterol-binding protein-related protein 5%2C transcript variant X2
100689821	LOC100689821	olfactory receptor 6N2-like
100689822	LOC100689822	duodenase-1
100689823	cep135	centrosomal protein 135%2C transcript variant X3
100689825	ppp1r32	protein phosphatase 1 regulatory subunit 32%2C transcript variant X1
100689826	nkain2	Na+/K+ transporting ATPase interacting 2%2C transcript variant X1
100689827	echs1	enoyl-CoA hydratase%2C short chain 1
100689828	LOC100689828	supervillin%2C transcript variant X4
100689829	fbxl20	F-box and leucine rich repeat protein 20%2C transcript variant X2
100689830	LOC100689830	mediator of RNA polymerase II transcription subunit 15
100689832	LOC100689832	transformer-2 protein homolog alpha%2C transcript variant X2
100689833	LOC100689833	serotonin N-acetyltransferase
100689834	LOC100689834	fibronectin
100689835	sergef	secretion regulating guanine nucleotide exchange factor
100689836	LOC100689836	14-3-3 protein beta/alpha-A%2C transcript variant X2
100689837	LOC100689837	bcl-2-related ovarian killer protein homolog A%2C transcript variant X2
100689838	LOC100689838	anthrax toxin receptor 2
100689839	lg19h9orf72	linkage group 19 C9orf72 homolog
100689840	wdr35	WD repeat domain 35%2C transcript variant X2
100689841	dctn4	dynactin subunit 4%2C transcript variant X2
100689842	clic4	chloride intracellular channel 4
100689843	slc35b2	solute carrier family 35 member B2
100689844	LOC100689844	battenin%2C transcript variant X1
100689845	LOC100689845	zinc finger protein ZXDC
100689846	LOC100689846	probable polypeptide N-acetylgalactosaminyltransferase 8
100689847	zcchc10	zinc finger CCHC-type containing 10
100689848	edn1	endothelin 1
100689849	LOC100689849	claudin-10-like
100689850	fgfr3	fibroblast growth factor receptor 3%2C transcript variant X11
100689852	LOC100689852	secretory carrier-associated membrane protein 3-like
100689853	ppp1cc	protein phosphatase 1 catalytic subunit gamma
100689855	LOC100689855	protein atonal homolog 1-like
100689856	ccdc80	coiled-coil domain containing 80
100689857	ccdc167	coiled-coil domain containing 167
100689858	mrps10	mitochondrial ribosomal protein S10
100689860	LOC100689860	septin-7
100689861	LOC100689861	urotensin-2 receptor-like
100689862	LOC100689862	histone H2B 1/2
100689863	LOC100689863	metaxin-1
100689864	plppr3	phospholipid phosphatase related 3
100689865	lztr1	leucine zipper like transcription regulator 1%2C transcript variant X3
100689866	fkbp2	FK506 binding protein 2
100689867	LOC100689867	histone-lysine N-methyltransferase 2B%2C transcript variant X1
100689868	fam172a	family with sequence similarity 172 member A
100689869	LOC100689869	14-3-3 protein epsilon%2C transcript variant X1
100689870	cnot8	CCR4-NOT transcription complex subunit 8%2C transcript variant X2
100689871	ptp4a1	protein tyrosine phosphatase type IVA%2C member 1%2C transcript variant X1
100689872	setd2	SET domain containing 2%2C transcript variant X4
100689873	smarce1	SWI/SNF related%2C matrix associated%2C actin dependent regulator of chromatin%2C subfamily e%2C member 1%2C transcript variant X1
100689874	LOC100689874	voltage-dependent T-type calcium channel subunit alpha-1H%2C transcript variant X3
100689875	bcl7a	BCL tumor suppressor 7A%2C transcript variant X1
100689876	LOC100689876	neuronal acetylcholine receptor subunit alpha-9%2C transcript variant X2
100689877	map3k7	mitogen-activated protein kinase kinase kinase 7%2C transcript variant X1
100689878	abhd4	abhydrolase domain containing 4
100689879	LOC100689879	SH2 domain-containing protein 1B%2C transcript variant X1
100689881	LOC100689881	cytochrome c oxidase copper chaperone
100689882	nectin3	nectin cell adhesion molecule 3%2C transcript variant X1
100689885	LOC100689885	dynactin subunit 1%2C transcript variant X6
100689887	cltc	clathrin heavy chain%2C transcript variant X2
100689888	gatm	glycine amidinotransferase
100689889	ybey	ybeY metallopeptidase (putative)
100689890	mmp15	matrix metallopeptidase 15
100689891	pkmyt1	protein kinase%2C membrane associated tyrosine/threonine 1%2C transcript variant X2
100689892	katnb1	katanin regulatory subunit B1
100689893	prdm15	PR/SET domain 15
100689894	LOC100689894	rap guanine nucleotide exchange factor 4%2C transcript variant X2
100689895	LOC100689895	uncharacterized LOC100689895%2C transcript variant X5
100689896	LOC100689896	1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase beta-1%2C transcript variant X2
100689897	fam96b	family with sequence similarity 96 member B
100689898	LOC100689898	WAP%2C Kazal%2C immunoglobulin%2C Kunitz and NTR domain-containing protein 2
100689899	rap1gds1	Rap1 GTPase-GDP dissociation stimulator 1%2C transcript variant X2
100689901	LOC100689901	cytosolic sulfotransferase 3%2C transcript variant X3
100689902	LOC100689902	bridging integrator 2%2C transcript variant X2
100689903	nufip1	NUFIP1%2C FMR1 interacting protein 1
100689904	znf839	zinc finger protein 839%2C transcript variant X1
100689905	wwp2	WW domain containing E3 ubiquitin protein ligase 2%2C transcript variant X1
100689906	LOC100689906	zinc finger protein 319
100689907	LOC100689907	protein-glutamine gamma-glutamyltransferase K
100689908	LOC100689908	lipoprotein lipase
100689909	LOC100689909	alpha-2-antiplasmin
100689910	LOC100689910	multiple C2 and transmembrane domain-containing protein 2
100689911	psap	prosaposin%2C transcript variant X2
100689912	LOC100689912	V-set and transmembrane domain-containing protein 4%2C transcript variant X2
100689913	LOC100689913	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C%2C transcript variant X4
100689914	trappc4	trafficking protein particle complex 4
100689915	mgrn1	mahogunin ring finger 1%2C transcript variant X1
100689916	kars	lysyl-tRNA synthetase%2C transcript variant X1
100689917	LOC100689917	MARVEL domain-containing protein 3%2C transcript variant X1
100689918	LOC100689918	uncharacterized LOC100689918
100689919	eif4e3	eukaryotic translation initiation factor 4E family member 3
100689921	LOC100689921	olfactory receptor 10J5-like
100689922	LOC100689922	retinol dehydrogenase 12
100689923	LOC100689923	nuclear receptor coactivator 7%2C transcript variant X2
100689924	adck5	aarF domain containing kinase 5
100689926	rnaseh2c	ribonuclease H2 subunit C%2C transcript variant X1
100689927	sowahd	sosondowah ankyrin repeat domain family member D
100689928	htr1f	5-hydroxytryptamine receptor 1F
100689929	taz	tafazzin
100689931	pcyox1l	prenylcysteine oxidase 1 like
100689932	LOC100689932	probable polypeptide N-acetylgalactosaminyltransferase 8
100689933	sf3b2	splicing factor 3b subunit 2%2C transcript variant X2
100689934	alpl	alkaline phosphatase%2C liver/bone/kidney%2C transcript variant X2
100689935	LOC100689935	interferon alpha-inducible protein 27-like protein 2A
100689936	tmcc3	transmembrane and coiled-coil domain family 3%2C transcript variant X2
100689937	hoxc11	homeobox C11
100689938	gmppb	GDP-mannose pyrophosphorylase B
100689939	gorab	golgin%2C RAB6 interacting
100689940	srek1ip1	SREK1 interacting protein 1
100689941	zgpat	zinc finger CCCH-type and G-patch domain containing%2C transcript variant X2
100689942	LOC100689942	lysophosphatidic acid receptor 6-like
100689943	LOC100689943	40S ribosomal protein S19
100689944	mlf2	myeloid leukemia factor 2
100689945	gpr18	G protein-coupled receptor 18%2C transcript variant X1
100689946	ogdhl	oxoglutarate dehydrogenase-like%2C transcript variant X2
100689947	LOC100689947	prostate stem cell antigen
100689948	melk	maternal embryonic leucine zipper kinase
100689949	elmod2	ELMO domain containing 2
100689950	LOC100689950	MHC class II regulatory factor RFX1
100689951	LOC100689951	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex%2C mitochondrial
100689952	rsad2	radical S-adenosyl methionine domain containing 2
100689953	timm23	translocase of inner mitochondrial membrane 23
100689954	LOC100689954	carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein%2C transcript variant X3
100689955	LOC100689955	coiled-coil domain-containing protein 85A%2C transcript variant X1
100689956	brf2	BRF2%2C RNA polymerase III transcription initiation factor subunit
100689957	LOC100689957	leukotriene B4 receptor 1%2C transcript variant X1
100689958	fam26f	family with sequence similarity 26 member F
100689961	tmem44	transmembrane protein 44%2C transcript variant X4
100689962	LOC100689962	protocadherin-8
100689963	fgb	fibrinogen beta chain
100689964	LOC100689964	78 kDa glucose-regulated protein-like
100689965	dxo	decapping exoribonuclease
100689966	LOC100689966	C-type lectin domain family 12 member B%2C transcript variant X2
100689967	glce	glucuronic acid epimerase
100689969	LOC100689969	lactose-binding lectin l-2-like
100689970	LOC100689970	cerebellin-1
100689971	LOC100689971	butyrophilin subfamily 3 member A2
100689972	LOC100689972	arachidonate 15-lipoxygenase B-like
100689973	kcnc2	potassium voltage-gated channel subfamily C member 2%2C transcript variant X1
100689974	brd7	bromodomain containing 7%2C transcript variant X1
100689976	LOC100689976	uncharacterized LOC100689976%2C transcript variant X1
100689978	LOC100689978	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5
100689980	map3k21	mitogen-activated protein kinase kinase kinase 21%2C transcript variant X4
100689982	LOC100689982	zinc finger and SCAN domain-containing protein 31
100689983	LOC100689983	protein Tob1%2C transcript variant X2
100689984	LOC100689984	niban-like protein 1
100689985	LOC100689985	CDP-diacylglycerol--serine O-phosphatidyltransferase%2C transcript variant X4
100689986	LOC100689986	interferon-induced protein 44-like
100689987	klhl12	kelch like family member 12%2C transcript variant X2
100689988	LOC100689988	uncharacterized LOC100689988%2C transcript variant X2
100689989	myc	v-myc avian myelocytomatosis viral oncogene homolog%2C transcript variant X1
100689990	lg9h3orf58	linkage group 9 C3orf58 homolog%2C transcript variant X2
100689991	nedd1	neural precursor cell expressed%2C developmentally down-regulated 1%2C transcript variant X2
100689992	LOC100689992	cathepsin L1-like%2C transcript variant X1
100689993	LOC100689993	transmembrane protein 230
100689994	LOC100689994	hippocampus abundant transcript 1 protein%2C transcript variant X2
100689995	rora	RAR related orphan receptor A%2C transcript variant X2
100689996	eea1	early endosome antigen 1%2C transcript variant X4
100689997	LOC100689997	POU domain%2C class 3%2C transcription factor 2
100689998	LOC100689998	gamma-aminobutyric acid receptor subunit alpha-5
100689999	nuak2	NUAK family kinase 2
100690000	nbl1	neuroblastoma 1%2C DAN family BMP antagonist
100690001	LOC100690001	C5a anaphylatoxin chemotactic receptor 1-like
100690002	uros	uroporphyrinogen III synthase%2C transcript variant X2
100690003	LOC100690003	low-density lipoprotein receptor-related protein 2
100690004	hgs	hepatocyte growth factor-regulated tyrosine kinase substrate%2C transcript variant X1
100690005	mybpc2	myosin binding protein C%2C fast type%2C transcript variant X2
100690006	LOC100690006	B2 bradykinin receptor-like
100690007	LOC100690007	phosphoinositide 3-kinase regulatory subunit 5%2C transcript variant X1
100690008	arl9	ADP ribosylation factor like GTPase 9%2C transcript variant X2
100690009	LOC100690009	retinol dehydrogenase 12%2C transcript variant X1
100690010	LOC100690010	collectin-43
100690011	LOC100690011	apelin receptor B
100690012	LOC100690012	prostaglandin-H2 D-isomerase
100690013	LOC100690013	girdin%2C transcript variant X2
100690014	nsun5	NOP2/Sun RNA methyltransferase family member 5%2C transcript variant X2
100690015	impdh2	inosine monophosphate dehydrogenase 2%2C transcript variant X3
100690016	LOC100690016	serine/threonine-protein kinase WNK1
100690017	LOC100690017	plexin-C1%2C transcript variant X2
100690018	star	steroidogenic acute regulatory protein
100690019	LOC100690019	protein-lysine methyltransferase METTL21C
100690020	LOC100690020	acidic repeat-containing protein%2C transcript variant X2
100690021	bmpr1b	bone morphogenetic protein receptor type 1B%2C transcript variant X1
100690022	scg5	secretogranin V
100690023	LOC100690023	transcription factor E2F6%2C transcript variant X1
100690024	LOC100690024	transmembrane protein 74%2C transcript variant X2
100690027	LOC100690027	sialidase-4-like%2C transcript variant X1
100690028	LOC100690028	neuron navigator 1%2C transcript variant X10
100690029	ptprm	protein tyrosine phosphatase%2C receptor type M%2C transcript variant X8
100690031	LOC100690031	glutathione S-transferase A
100690032	LOC100690032	C-factor%2C transcript variant X1
100690033	fis1	fission%2C mitochondrial 1
100690034	rps3a	ribosomal protein S3A
100690035	LOC100690035	DENN domain-containing protein 5B%2C transcript variant X3
100690036	LOC100690036	adhesion G protein-coupled receptor L1%2C transcript variant X2
100690038	LOC100690038	tetratricopeptide repeat protein 31%2C transcript variant X2
100690040	pou2f2	POU class 2 homeobox 2%2C transcript variant X4
100690041	itga11	integrin subunit alpha 11%2C transcript variant X2
100690043	atp4a	ATPase H+/K+ transporting alpha subunit
